full_address,onemap_result,hdb_LATITUDE,hdb_LONGITUDE,hdb_POSTAL
216 ANG MO KIO AVE 1,"{'SEARCHVAL': 'ANG MO KIO 22', 'BLK_NO': '216', 'ROAD_NAME': 'ANG MO KIO AVENUE 1', 'BUILDING': 'ANG MO KIO 22', 'ADDRESS': '216 ANG MO KIO AVENUE 1 ANG MO KIO 22 SINGAPORE 560216', 'POSTAL': '560216', 'X': '28911.0522399368', 'Y': '38692.6167905722', 'LATITUDE': '1.36619678831054', 'LONGITUDE': '103.841505011903'}",1.36619678831054,103.841505011903,560216.0
219 ANG MO KIO AVE 1,"{'SEARCHVAL': 'ANG MO KIO GROVE', 'BLK_NO': '219', 'ROAD_NAME': 'ANG MO KIO AVENUE 1', 'BUILDING': 'ANG MO KIO GROVE', 'ADDRESS': '219 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560219', 'POSTAL': '560219', 'X': '28816.3492579265', 'Y': '38668.8640811536', 'LATITUDE': '1.36598198004505', 'LONGITUDE': '103.840654039612'}",1.36598198004505,103.840654039612,560219.0
220 ANG MO KIO AVE 1,"{'SEARCHVAL': 'ANG MO KIO GROVE', 'BLK_NO': '220', 'ROAD_NAME': 'ANG MO KIO AVENUE 1', 'BUILDING': 'ANG MO KIO GROVE', 'ADDRESS': '220 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560220', 'POSTAL': '560220', 'X': '28801.3080979744', 'Y': '38625.3368742224', 'LATITUDE': '1.36558833593063', 'LONGITUDE': '103.840518883254'}",1.36558833593063,103.840518883254,560220.0
202 ANG MO KIO AVE 3,"{'SEARCHVAL': 'ANG MO KIO VIEW', 'BLK_NO': '202', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'ANG MO KIO VIEW', 'ADDRESS': '202 ANG MO KIO AVENUE 3 ANG MO KIO VIEW SINGAPORE 560202', 'POSTAL': '560202', 'X': '29246.1670971215', 'Y': '38941.3731856421', 'LATITUDE': '1.36844644010937', 'LONGITUDE': '103.844516260527'}",1.36844644010937,103.844516260527,560202.0
235 ANG MO KIO AVE 3,"{'SEARCHVAL': 'KEBUN BARU PALM VIEW', 'BLK_NO': '235', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'KEBUN BARU PALM VIEW', 'ADDRESS': '235 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560235', 'POSTAL': '560235', 'X': '28353.0784864286', 'Y': '38761.9260844272', 'LATITUDE': '1.36682360872342', 'LONGITUDE': '103.83649123351'}",1.36682360872342,103.83649123351,560235.0
211 ANG MO KIO AVE 3,"{'SEARCHVAL': '211 ANG MO KIO AVENUE 3 SINGAPORE 560211', 'BLK_NO': '211', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'NIL', 'ADDRESS': '211 ANG MO KIO AVENUE 3 SINGAPORE 560211', 'POSTAL': '560211', 'X': '28929.0379298814', 'Y': '39024.3611866981', 'LATITUDE': '1.369196965617', 'LONGITUDE': '103.841666636086'}",1.369196965617,103.841666636086,560211.0
308 ANG MO KIO AVE 1,"{'SEARCHVAL': 'TECK GHEE VISTA', 'BLK_NO': '308C', 'ROAD_NAME': 'ANG MO KIO AVENUE 1', 'BUILDING': 'TECK GHEE VISTA', 'ADDRESS': '308C ANG MO KIO AVENUE 1 TECK GHEE VISTA SINGAPORE 563308', 'POSTAL': '563308', 'X': '29227.361780446', 'Y': '38637.3153379746', 'LATITUDE': '1.36569665029696', 'LONGITUDE': '103.844347269095'}",1.36569665029696,103.844347269095,563308.0
320 ANG MO KIO AVE 1,"{'SEARCHVAL': 'STAR LEARNERS @ ANG MO KIO PTE. LTD.', 'BLK_NO': '320', 'ROAD_NAME': 'ANG MO KIO AVENUE 1', 'BUILDING': 'STAR LEARNERS @ ANG MO KIO PTE. LTD.', 'ADDRESS': '320 ANG MO KIO AVENUE 1 STAR LEARNERS @ ANG MO KIO PTE. LTD. SINGAPORE 560320', 'POSTAL': '560320', 'X': '29676.907292584', 'Y': '38625.7954039071', 'LATITUDE': '1.36559244608528', 'LONGITUDE': '103.848386744168'}",1.36559244608528,103.848386744168,560320.0
232 ANG MO KIO AVE 3,"{'SEARCHVAL': 'KEBUN BARU PALM VIEW', 'BLK_NO': '232', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'KEBUN BARU PALM VIEW', 'ADDRESS': '232 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560232', 'POSTAL': '560232', 'X': '28431.5154539887', 'Y': '38930.2720091287', 'LATITUDE': '1.36834606813391', 'LONGITUDE': '103.837196046409'}",1.36834606813391,103.837196046409,560232.0
247 ANG MO KIO AVE 3,,,,
