school_name,address,mainlevel_code,sap_ind,autonomous_ind,primary_school_LATITUDE,primary_school_LONGITUDE
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE   ,PRIMARY,No,No,1.4426347903311,103.800040119743
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11   ,PRIMARY,No,No,1.43315271543517,103.832942401086
AI TONG SCHOOL,100 Bright Hill Drive   ,PRIMARY,Yes,No,1.3605834338904,103.833020333986
ALEXANDRA PRIMARY SCHOOL,2A Prince Charles Crescent   ,PRIMARY,No,No,1.29133439161334,103.824424680531
ANCHOR GREEN PRIMARY SCHOOL,31 Anchorvale Drive   ,PRIMARY,No,No,1.39036998654612,103.887165375933
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9   ,PRIMARY,No,No,1.38426429436736,103.841392081119
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3   ,PRIMARY,No,No,1.36932176584608,103.839630858752
ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD   ,PRIMARY,No,No,1.30935041274966,103.840950265464
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD   ,PRIMARY,No,No,1.31837054523521,103.835609732354
ANGSANA PRIMARY SCHOOL,51 Tampines Street 61   ,PRIMARY,No,No,1.36360590588314,103.9389409004
BEACON PRIMARY SCHOOL,36 Bukit Panjang Ring Road   ,PRIMARY,No,No,1.38394936211823,103.773632022975
BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVE 2   ,PRIMARY,No,No,1.32344593287992,103.937878976352
BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD   ,PRIMARY,No,No,1.32181250780475,103.865404167629
BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS   ,PRIMARY,No,No,1.27612047924037,103.808628535239
BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE   ,PRIMARY,No,No,1.34317853793318,103.713280889452
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD   ,PRIMARY,No,No,1.37362179302436,103.769374904025
BUKIT TIMAH PRIMARY SCHOOL,111 Lorong Kismis   ,PRIMARY,No,No,1.3377498622588,103.766855344779
BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21   ,PRIMARY,No,No,1.34586054788695,103.75366641455
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE   ,PRIMARY,No,No,1.45125024371543,103.815858858929
CANOSSA CATHOLIC PRIMARY SCHOOL,1 Sallim Road   ,PRIMARY,No,No,1.32664424544839,103.882227964852
CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE   ,PRIMARY,No,No,1.27547252623201,103.839962631748
CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41   ,PRIMARY,No,No,1.37246063927999,103.957020286115
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22   ,MIXED LEVEL (P1-S4),Yes,Yes,1.3547230747166,103.844874676599
CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE   ,PRIMARY,No,No,1.3355885014312,103.87562104944
CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3   ,PRIMARY,No,No,1.34023163951633,103.952080114035
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD   ,PRIMARY,No,No,1.30648535277087,103.911105620496
VALOUR PRIMARY SCHOOL,49 Punggol Central   ,PRIMARY,No,No,1.40683570215319,103.899078139493
CHIJ (KELLOCK),1 Bukit Teresa Road   ,PRIMARY,No,No,1.275022722964,103.828157564896
CHIJ OUR LADY OF GOOD COUNSEL,2C Burghley Drive   ,PRIMARY,No,No,1.35742952269615,103.864009397373
